Latency	Type	Duration
642480	12	1250
643180	22	697.82
643570	10	2150.1
646080	12	1250
646870	22	788.52
647260	10	2722.6
650350	11	1250
650870	21	521.29
651260	10	2175.1
653810	12	1250
654340	22	528.31
654730	10	2170.4
657280	11	1250
657810	21	530.95
658210	10	2715.3
661290	12	1250
661940	22	645.82
662330	10	2020.2
664720	12	1250
665430	22	706.65
665830	10	2692.5
668890	11	1250
669330	21	438.53
669720	10	2031.7
672120	12	1250
672740	22	616.96
673140	10	2003.8
675500	12	1250
676280	22	771.28
676670	10	2324.9
679370	11	1250
679820	21	448.33
680220	10	2872.6
683470	12	1250
684120	22	648.8
684520	10	2285.6
687170	12	1250
687980	22	812.19
688380	10	2929.8
691680	11	1250
692120	21	436.52
692520	10	2073.5
694960	11	1250
695400	21	434.85
695800	10	2907.3
699080	12	1250
699660	22	583.55
700060	10	2541.4
702980	12	1250
703630	22	652.8
704030	10	2979
707380	11	1250
707810	21	436.4
708210	10	2890.9
711480	11	1250
711980	21	506.01
712380	10	2390.1
715160	12	1250
715720	22	560.48
716120	10	2444.2
718940	12	1250
719570	22	632.82
719970	10	2850
723210	11	1250
723650	21	449.2
724060	10	2085.4
726520	11	1250
726880	21	355.44
727300	10	2400.1
730090	12	1250
730720	22	629.25
731120	10	2702.1
734200	12	1250
734770	22	566.71
735170	10	2755.9
738320	11	1250
738680	21	366.55
739080	10	2521.1
741980	12	1250
742690	22	705.14
748960	10	2303.7
751660	12	1250
752180	22	520.1
752580	10	2926
755890	11	1250
756270	21	376.16
756680	10	2515.7
759580	11	1250
760060	21	485.98
760480	10	2199
763060	12	1250
763860	22	806.16
764270	10	2065.3
766720	11	1250
767310	21	587.4
767720	10	2964.1
771070	12	1250
771580	22	509.79
771990	10	2750.9
775120	11	1250
775580	21	456.83
775990	10	2852
779240	12	1250
779830	22	588.88
780240	10	2362.6
782990	12	1250
783590	22	605.15
784000	10	2281.7
786670	11	1250
787580	21	910.16
787980	10	2174.7
790550	12	1250
791050	22	499.04
791450	10	2058
793900	11	1250
794430	21	536.37
794850	10	2355.1
797580	12	1250
798680	22	1099.4
799100	10	2624.3
802130	11	1250
802680	21	546.62
803080	10	2323.7
805790	11	1250
806210	21	420.54
806630	10	2320.1
809330	12	1250
809920	22	596.5
810340	10	2450
813170	12	1250
813710	22	532.45
814120	10	2604.1
817110	11	1250
817550	21	445.65
817960	10	2953.4
821310	11	1250
821820	21	514.88
822240	10	2275.7
824900	12	1250
825450	22	549.06
825870	10	2363.6
828620	12	1250
829270	22	650.09
829690	10	2804.7
832870	11	1250
833290	21	423.59
833700	10	2446.4
836550	11	1250
837010	21	455.2
837420	10	2258.1
840070	12	1250
840740	22	674.64
841150	10	2493
844050	12	1250
844620	22	574.67
845030	10	2186.3
847610	11	1250
848140	21	522.54
848560	10	2193.4
851140	11	1250
851640	21	496.59
852060	10	2684
855130	12	1250
855690	22	566.59
856110	10	2516.8
859030	12	1250
859680	22	652.42
860090	10	2698.1
863190	11	1250
863660	21	469.09
864070	10	2077.8
866560	12	1250
867250	22	694.48
867670	10	2612.5
870670	11	1250
871160	21	491.73
871590	10	2762.4
874740	11	1250
875120	21	386
875540	10	2504.9
878440	12	1250
879060	22	621.69
879470	10	2884.7
882750	12	1250
883540	22	786.07
883950	10	2221.8
886580	11	1250
887030	21	445.86
887450	10	2061.5
889920	11	1250
890500	21	585.78
890920	10	2240.5
893560	12	1250
894320	22	755
894730	10	2150.5
897280	12	1250
898360	22	1076.1
898780	10	2576.3
901760	11	1250
902150	21	388.08
902580	10	2395
905380	12	1250
906100	22	724.27
